spot_no,sample_id,u238_pb206_ratio_204corr,u238_pb206_ratio_204corr_1sigma_abs,pb207_pb206_ratio_204corr,pb207_pb206_ratio_204corr_1sigma_abs,ellipse_distance_to_concordia,nearest_concordia_age_ma,concordant_2sigma,classification
1,193435.1,2.977079184,0.110714495,0.14164897,0.00362907,20.98628843314782,2138.1669967724,False,discordant
2,193435.1,2.685252665,0.074947069,0.143462772,0.000601159,17.355565812056582,2265.052506528103,False,discordant
3,193435.1,2.787836672,0.062824089,0.146268487,0.001651411,46.19958498720996,2251.9502440148362,False,discordant
4,193435.1,1.914148113,0.031911448,0.178528859,0.001269204,3.509992419612336,2645.502265323131,True,concordant
5,193435.1,1.968693898,0.032593591,0.181211028,0.001283121,0.16346704835151254,2661.780432833279,True,concordant
6,193435.1,1.973127155,0.032072505,0.180762219,0.001211971,0.18868633808081328,2657.6916659476647,True,concordant
7,193435.1,1.998936625,0.029223923,0.182512341,0.005092083,1.1319257398061433,2633.7018960983432,True,concordant
8,193435.1,1.962117376,0.028091965,0.181418882,0.001094234,0.09260582984479399,2664.21561583794,True,concordant
9,193435.1,2.060323391,0.028494431,0.179095237,0.001032525,8.693938912683143,2635.4037350481394,False,discordant
10,193435.1,2.708433298,0.035498005,0.132269694,0.007033688,1.060360352963373,2030.9955876394285,True,concordant
11,193435.1,2.062902013,0.026183926,0.179479729,0.001033295,11.526186563497298,2636.955937125431,False,discordant
12,193435.1,1.955450614,0.024449847,0.179197195,0.0008719,0.3987730185793489,2646.170607416255,True,concordant
13,193435.1,2.93667647,0.036345342,0.16683995,0.002411618,313.27239465928193,2152.2586534523825,False,discordant
14,193435.1,2.014425151,0.024603608,0.182630035,0.000829105,7.774674168096728,2670.625948905884,False,discordant
15,193435.1,1.955458899,0.022403126,0.180289717,0.000754691,0.09009525100345238,2655.3516049950254,True,concordant
16,193435.1,2.020695231,0.023034326,0.180881794,0.00080284,6.939826927426058,2654.8351757635705,False,discordant
17,193435.1,2.071190833,0.022647136,0.174990757,0.000790477,7.087439756687386,2599.1915512216156,False,discordant
18,193435.1,1.968984099,0.021328746,0.182045452,0.000710611,0.8979418246780977,2669.2484469393094,True,concordant
19,193435.1,1.999510952,0.021582314,0.180592625,0.000756236,3.1016420662771034,2654.1558138153223,True,concordant
20,193435.1,1.989454026,0.02143164,0.180378376,0.0006559,1.574820436515289,2653.7412980587164,True,concordant
21,193435.1,2.064159406,0.022095544,0.182473747,0.000805669,26.92471789329772,2663.8534906331674,False,discordant
22,193435.1,2.064990656,0.021479958,0.17583833,0.005430253,1.4070183434324608,2555.7367987353937,True,concordant
23,193435.1,1.983969145,0.020438065,0.181127978,0.000639751,1.816562320826075,2660.512338810424,True,concordant
24,193435.1,1.959142107,0.020094918,0.18151397,0.000640124,0.106402914423586,2665.5273070886283,True,concordant
25,193435.1,2.179177196,0.021666525,0.175040562,0.001013316,53.107248918867114,2577.3856941218314,False,discordant
26,193435.1,2.634401859,0.024672579,0.161546492,0.005769945,31.706377272635994,2094.393082306893,False,discordant
27,193435.1,2.866336526,0.026508588,0.135808919,0.002137419,54.02280384111117,1983.1800246569226,False,discordant
28,193435.1,2.530281678,0.022621022,0.150562761,0.000521238,119.50649425130925,2332.23982502601,False,discordant
29,193435.1,3.592833639,0.029108925,0.112088046,0.000512261,269.31174495649293,1759.466678965711,False,discordant
30,193435.1,12.34085719,0.095118952,0.078432813,0.000610255,1166.1140108610844,525.385253736057,False,discordant
31,193435.1,4.406140282,0.033865531,0.104259839,0.000425277,802.9332554293078,1585.0117628414496,False,discordant
