age_Ma,S_raw,S_pen,D_raw,D_pen,n_runs
1.000000,0.829708,0.829708,0.170292,0.170292,200
11.045226,0.805208,0.805208,0.194792,0.194792,200
21.090452,0.763542,0.763542,0.236458,0.236458,200
31.135678,0.738583,0.738583,0.261417,0.261417,200
41.180905,0.723417,0.723417,0.276583,0.276583,200
51.226131,0.678125,0.678125,0.321875,0.321875,200
61.271357,0.633375,0.633375,0.366625,0.366625,200
71.316583,0.598750,0.598750,0.401250,0.401250,200
81.361809,0.544000,0.544000,0.456000,0.456000,200
91.407035,0.515833,0.515833,0.484167,0.484167,200
101.452261,0.468667,0.468667,0.531333,0.531333,200
111.497487,0.393353,0.380225,0.606647,0.619775,200
121.542714,0.341606,0.319030,0.658394,0.680970,200
131.587940,0.331044,0.305767,0.668956,0.694233,200
141.633166,0.332436,0.295556,0.667564,0.704444,200
151.678392,0.330949,0.269809,0.669051,0.730191,200
161.723618,0.326337,0.254152,0.673663,0.745848,200
171.768844,0.320797,0.243292,0.679203,0.756708,200
181.814070,0.326845,0.240059,0.673155,0.759941,200
191.859296,0.323045,0.226000,0.676955,0.774000,200
201.904523,0.318062,0.217208,0.681938,0.782792,200
211.949749,0.329244,0.206549,0.670756,0.793451,200
221.994975,0.334562,0.200192,0.665438,0.799808,200
232.040201,0.327341,0.183736,0.672659,0.816264,200
242.085427,0.338989,0.183375,0.661011,0.816625,200
252.130653,0.343125,0.183000,0.656875,0.817000,200
262.175879,0.334823,0.174667,0.665177,0.825333,200
272.221106,0.330504,0.165375,0.669496,0.834625,200
282.266332,0.317757,0.156283,0.682243,0.843717,200
292.311558,0.297712,0.142496,0.702288,0.857504,200
302.356784,0.291551,0.133618,0.708449,0.866382,200
312.402010,0.297129,0.125125,0.702871,0.874875,200
322.447236,0.294664,0.120394,0.705336,0.879606,200
332.492462,0.288930,0.116708,0.711070,0.883292,200
342.537688,0.322412,0.116542,0.677588,0.883458,200
352.582915,0.336911,0.116542,0.663089,0.883458,200
362.628141,0.316585,0.108167,0.683415,0.891833,200
372.673367,0.315445,0.107589,0.684555,0.892411,200
382.718593,0.302301,0.100660,0.697699,0.899340,200
392.763819,0.309021,0.099565,0.690979,0.900435,200
402.809045,0.313532,0.099298,0.686468,0.900702,200
412.854271,0.317915,0.099099,0.682085,0.900901,200
422.899497,0.346885,0.098522,0.653115,0.901478,200
432.944724,0.357630,0.097991,0.642370,0.902009,200
442.989950,0.373996,0.097332,0.626004,0.902668,200
453.035176,0.379339,0.095489,0.620661,0.904511,200
463.080402,0.357207,0.088316,0.642793,0.911684,200
473.125628,0.364890,0.086654,0.635110,0.913346,200
483.170854,0.359819,0.081003,0.640181,0.918997,200
493.216080,0.348888,0.078335,0.651112,0.921665,200
503.261307,0.356232,0.077671,0.643768,0.922329,200
513.306533,0.361502,0.077118,0.638498,0.922882,200
523.351759,0.354342,0.073792,0.645658,0.926208,200
533.396985,0.343075,0.069067,0.656925,0.930933,200
543.442211,0.339792,0.067958,0.660208,0.932042,200
553.487437,0.331375,0.066275,0.668625,0.933725,200
563.532663,0.300500,0.060100,0.699500,0.939900,200
573.577889,0.294750,0.058950,0.705250,0.941050,200
583.623116,0.309396,0.058776,0.690604,0.941224,200
593.668342,0.317792,0.058604,0.682208,0.941396,200
603.713568,0.337754,0.058488,0.662246,0.941512,200
613.758794,0.350768,0.058458,0.649232,0.941542,200
623.804020,0.366408,0.058452,0.633592,0.941548,200
633.849246,0.368921,0.058412,0.631079,0.941588,200
643.894472,0.370658,0.058410,0.629342,0.941590,200
653.939698,0.392464,0.058223,0.607536,0.941777,200
663.984925,0.408614,0.056949,0.591386,0.943051,200
674.030151,0.406778,0.051634,0.593222,0.948366,200
684.075377,0.378812,0.047369,0.621188,0.952631,200
694.120603,0.357125,0.044641,0.642875,0.955359,200
704.165829,0.350500,0.043812,0.649500,0.956188,200
714.211055,0.350000,0.043750,0.650000,0.956250,200
