sample,peak_no,age_ma,ci_low,ci_high,support
1A,1,700.9696208314306,675.8565555047974,726.0826861580638,0.985
1B,1,696.6319095477388,671.5188442211056,721.744974874372,1.0
1C,1,681.0618090452233,655.9487437185901,706.1748743718565,1.0
2A,1,382.7185929648241,357.60552763819095,407.83165829145725,1.0
2A,2,1790.5939546723139,1765.4808893456807,1815.707019998947,1.0
2B,1,422.8994974874372,397.78643216080405,448.01256281407035,1.0
2B,2,1784.4317564835862,1759.318691156953,1809.5448218102194,1.0
2C,1,432.94472361809045,407.8316582914573,458.0577889447236,1.0
2C,2,1797.7115182808789,1772.5984529542457,1822.824583607512,1.0
3A,1,402.0915290739417,376.9784637473085,427.2045944005748,1.0
3B,1,402.8090452261307,377.69597989949756,427.92211055276385,1.0
3C,1,399.34105049054733,374.2279851639142,424.4541158171805,1.0
4A,1,553.4874371859297,528.3743718592965,578.6005025125629,1.0
4A,2,1826.6600562335345,1801.5469909069013,1851.7731215601677,1.0
4B,1,573.5778894472362,548.464824120603,598.6909547738694,1.0
4B,2,1798.242725260119,1773.1296599334858,1823.3557905867522,1.0
4C,1,603.713567839196,578.6005025125628,628.8266331658292,1.0
4C,2,1737.1499162478983,1712.036850921265,1762.2629815745315,1.0
5A,1,1494.1199705122772,1469.006905185644,1519.2330358389104,1.0
5B,1,1475.3169566470197,1450.2038913203864,1500.4300219736529,1.0
5C,1,1437.4673366834163,1412.354271356783,1462.5804020100495,1.0
6A,1,518.3291457286448,493.21608040201164,543.442211055278,1.0
6A,2,1484.8970515189412,1459.783986192308,1510.0101168455744,1.0
6B,1,524.9005053742899,499.78744004765673,550.0135707009231,1.0
6B,2,1478.4324041154368,1453.3193387888036,1503.54546944207,1.0
6C,1,1402.8410003224126,1377.7279349957794,1427.9540656490458,1.0
7A,1,1482.5586680031452,1457.445602676512,1507.6717333297784,1.0
7B,1,1456.5735597177854,1431.4604943911522,1481.6866250444186,1.0
7C,1,1467.6030150753768,1457.5577889447236,1487.6934673366832,1.0
