sample,peak_no,age_ma,ci_low,ci_high,support
1A,1,700.9696208314306,675.8565555047974,726.0826861580638,0.985
1B,1,696.6319095477388,671.5188442211056,721.744974874372,1.0
1C,1,681.0618090452233,655.9487437185901,706.1748743718565,1.0
2A,1,382.7185929648241,357.60552763819095,407.83165829145725,1.0
2B,1,422.8994974874372,397.78643216080405,448.01256281407035,1.0
2C,1,432.94472361809045,407.8316582914573,458.0577889447236,1.0
3A,1,402.0915290739417,376.9784637473085,427.2045944005748,1.0
3B,1,402.8090452261307,377.69597989949756,427.92211055276385,1.0
3C,1,399.34105049054733,374.2279851639142,424.4541158171805,1.0
4A,1,553.4874371859297,528.3743718592965,578.6005025125629,1.0
4B,1,573.5778894472362,548.464824120603,598.6909547738694,1.0
4C,1,603.713567839196,593.6683417085427,658.9860644166608,1.0
