age_Ma,S_raw,S_pen,D_raw,D_pen,n_runs
1.000000,0.037625,0.037625,0.962375,0.962375,200
11.045226,0.038500,0.038500,0.961500,0.961500,200
21.090452,0.039375,0.039375,0.960625,0.960625,200
31.135678,0.040667,0.040667,0.959333,0.959333,200
41.180905,0.041875,0.041875,0.958125,0.958125,200
51.226131,0.043208,0.043208,0.956792,0.956792,200
61.271357,0.044958,0.044958,0.955042,0.955042,200
71.316583,0.046917,0.046917,0.953083,0.953083,200
81.361809,0.048375,0.048375,0.951625,0.951625,200
91.407035,0.050708,0.050708,0.949292,0.949292,200
101.452261,0.053250,0.053250,0.946750,0.946750,200
111.497487,0.055875,0.055875,0.944125,0.944125,200
121.542714,0.059667,0.059667,0.940333,0.940333,200
131.587940,0.064042,0.064042,0.935958,0.935958,200
141.633166,0.068958,0.068958,0.931042,0.931042,200
151.678392,0.074292,0.074292,0.925708,0.925708,200
161.723618,0.079208,0.079208,0.920792,0.920792,200
171.768844,0.085583,0.085583,0.914417,0.914417,200
181.814070,0.091208,0.091208,0.908792,0.908792,200
191.859296,0.096458,0.096458,0.903542,0.903542,200
201.904523,0.102125,0.102125,0.897875,0.897875,200
211.949749,0.109333,0.109333,0.890667,0.890667,200
221.994975,0.118375,0.118375,0.881625,0.881625,200
232.040201,0.130667,0.130667,0.869333,0.869333,200
242.085427,0.146625,0.146625,0.853375,0.853375,200
252.130653,0.168042,0.168042,0.831958,0.831958,200
262.175879,0.197542,0.197542,0.802458,0.802458,200
272.221106,0.239208,0.239208,0.760792,0.760792,200
282.266332,0.295292,0.295292,0.704708,0.704708,200
292.311558,0.420333,0.420333,0.579667,0.579667,200
302.356784,0.499667,0.499667,0.500333,0.500333,200
312.402010,0.500000,0.500000,0.500000,0.500000,200
322.447236,0.500000,0.500000,0.500000,0.500000,200
332.492462,0.500000,0.500000,0.500000,0.500000,200
342.537688,0.500000,0.500000,0.500000,0.500000,200
352.582915,0.500000,0.500000,0.500000,0.500000,200
362.628141,0.500000,0.500000,0.500000,0.500000,200
372.673367,0.500000,0.500000,0.500000,0.500000,200
382.718593,0.500000,0.500000,0.500000,0.500000,200
392.763819,0.500000,0.500000,0.500000,0.500000,200
402.809045,0.500000,0.500000,0.500000,0.500000,200
412.854271,0.500000,0.500000,0.500000,0.500000,200
422.899497,0.500000,0.500000,0.500000,0.500000,200
432.944724,0.500000,0.500000,0.500000,0.500000,200
442.989950,0.500000,0.500000,0.500000,0.500000,200
453.035176,0.500000,0.500000,0.500000,0.500000,200
463.080402,0.499517,0.499042,0.500483,0.500958,200
473.125628,0.493448,0.487083,0.506552,0.512917,200
483.170854,0.491504,0.483292,0.508496,0.516708,200
493.216080,0.490917,0.482167,0.509083,0.517833,200
503.261307,0.484354,0.469708,0.515646,0.530292,200
513.306533,0.471353,0.445833,0.528647,0.554167,200
523.351759,0.466846,0.437833,0.533154,0.562167,200
533.396985,0.462833,0.430833,0.537167,0.569167,200
543.442211,0.456064,0.419250,0.543936,0.580750,200
553.487437,0.451342,0.411333,0.548658,0.588667,200
563.532663,0.444711,0.400458,0.555289,0.599542,200
573.577889,0.438085,0.389833,0.561915,0.610167,200
583.623116,0.431940,0.380208,0.568060,0.619792,200
593.668342,0.428949,0.375583,0.571051,0.624417,200
603.713568,0.428571,0.375000,0.571429,0.625000,200
613.758794,0.428571,0.375000,0.571429,0.625000,200
623.804020,0.428516,0.374917,0.571484,0.625083,200
633.849246,0.426067,0.371208,0.573933,0.628792,200
643.894472,0.411845,0.350167,0.588155,0.649833,200
653.939698,0.406020,0.341792,0.593980,0.658208,200
663.984925,0.399480,0.332667,0.600520,0.667333,200
674.030151,0.388868,0.318167,0.611132,0.681833,200
684.075377,0.387848,0.316792,0.612152,0.683208,200
694.120603,0.387755,0.316667,0.612245,0.683333,200
704.165829,0.387566,0.316417,0.612434,0.683583,200
714.211055,0.386051,0.314417,0.613949,0.685583,200
724.256281,0.378088,0.304000,0.621912,0.696000,200
734.301508,0.375064,0.300083,0.624936,0.699917,200
744.346734,0.375000,0.300000,0.625000,0.700000,200
754.391960,0.375000,0.300000,0.625000,0.700000,200
764.437186,0.374342,0.299167,0.625658,0.700833,200
774.482412,0.368418,0.291667,0.631582,0.708333,200
784.527638,0.365633,0.288208,0.634367,0.711792,200
