"Lower Intercept","Likelihood","n.lines","normalized.sum.likelihood"
1e+06,1035.69341775172,399,2.59572285150808
1.1e+07,1048.44390725841,398,2.6342811740161
2.1e+07,1061.53075099531,397,2.67388098487484
3.1e+07,1074.96723861121,396,2.7145637338667
4.1e+07,1088.76738967735,395,2.75637313842367
5.1e+07,1102.9460056781,394,2.79935534436066
6.1e+07,1117.51872658715,393,2.84355910073066
7.1e+07,1132.50209251484,392,2.88903595029296
8.1e+07,1147.91361097255,391,2.93584043726994
9.1e+07,1163.77183036925,390,2.98403033428013
1.01e+08,1180.09642043453,389,3.03366689057721
1.11e+08,1196.90826035301,388,3.08481510400261
1.21e+08,1214.22953550012,387,3.13754401938015
1.31e+08,1232.08384378976,386,3.19192705645015
1.41e+08,1250.49631278436,385,3.24804237086846
1.51e+08,1269.49372887973,384,3.30597325229096
1.61e+08,1289.10468006619,383,3.3658085641415
1.71e+08,1309.35971398706,382,3.42764323033262
1.81e+08,1330.29151327336,381,3.4915787749957
1.91e+08,1351.93509043565,380,3.55772392219909
2.01e+08,1374.32800494939,379,3.62619526371871
2.11e+08,1397.51060559044,378,3.69711800420751
2.21e+08,1421.52630157504,377,3.77062679462874
2.31e+08,1446.42186665048,376,3.84686666662362
2.41e+08,1472.24778098966,375,3.9259940826391
2.51e+08,1499.05861658932,374,4.00817811922277
2.61e+08,1526.91347289112,373,4.09360180399765
2.71e+08,1555.87647057636,372,4.18246363058163
2.81e+08,1586.01731297956,371,4.27497928026834
2.91e+08,1617.41192638987,370,4.3713835848375
3.01e+08,1650.1431927434,369,4.47193277166234
3.11e+08,1684.30179096184,368,4.57690704065716
3.21e+08,1719.98716660185,367,4.68661353297505
3.31e+08,1757.30865372334,366,4.80138976427142
3.41e+08,1796.38677819321,365,4.92160761148824
3.51e+08,1837.35477830327,364,5.04767796237161
3.61e+08,1880.36038693518,363,5.18005616235587
3.71e+08,1925.56792988723,362,5.31924842510284
3.81e+08,1973.16080755113,361,5.46581941149898
3.91e+08,2023.34444147708,360,5.62040122632522
4.01e+08,2076.34978165841,359,5.78370412718221
4.11e+08,2132.43747989277,358,5.9565292734435
4.21e+08,2191.90282963655,357,6.13978383651695
4.31e+08,2255.08153645062,356,6.33449869789501
4.41e+08,2322.35629019703,355,6.54184870478037
4.51e+08,2394.16392791198,354,6.76317493760448
4.61e+08,2471.00266220448,353,7.00000754165575
4.71e+08,2553.4383159398,352,7.25408612482896
4.81e+08,2642.10744684089,351,7.52737164342135
4.91e+08,2737.71258374911,350,7.82203595356888
5.01e+08,2840.99694621781,349,8.14039239603956
5.11e+08,2952.66022555505,348,8.4846558205605
5.21e+08,3073.08345243382,347,8.85614827790728
5.31e+08,3201.4195750111,346,9.25265773124594
5.41e+08,3332.9324039155,345,9.66067363453767
5.51e+08,3453.24811258319,344,10.0385119551837
5.61e+08,3531.39556579948,343,10.2956138944591
5.71e+08,3521.51575714198,342,10.2968296992456
5.81e+08,3385.59609440678,341,9.92843429444805
5.91e+08,3128.84995580774,340,9.20249987002275
6.01e+08,2808.91172641328,339,8.2858752991542
6.11e+08,2497.02367165809,338,7.38764399898843
6.21e+08,2232.2862011921,337,6.6239946622911
6.31e+08,2016.64345716554,336,6.00191505108793
6.41e+08,1837.20193047283,335,5.48418486708308
6.51e+08,1681.44682622674,334,5.03427193481061
6.61e+08,1540.28919609725,333,4.62549308137312
