"Lower Intercept","Likelihood","n.lines","normalized.sum.likelihood"
1e+06,330.213131716977,399,0.827601833877136
1.1e+07,333.432902638967,398,0.837771112158209
2.1e+07,336.72192113178,397,0.848166048190882
3.1e+07,340.0825734147,396,0.858794377309848
4.1e+07,343.51736617799,395,0.869664218172127
5.1e+07,347.028934744235,394,0.880784098335622
6.1e+07,350.620051928794,393,0.892162982007108
7.1e+07,354.29363767217,392,0.903810300184108
8.1e+07,358.05276952603,391,0.915735983442532
9.1e+07,361.900694084851,390,0.927950497653465
1.01e+08,365.84083946694,389,0.940464882948431
1.11e+08,369.87682896194,388,0.95329079629366
1.21e+08,374.012495977505,387,0.966440558081407
1.31e+08,378.251900435585,386,0.979927203200997
1.41e+08,382.599346789483,385,0.993764537115541
1.51e+08,387.059403856665,384,1.0079671975434
1.61e+08,391.636926690194,383,1.02255072242871
1.71e+08,396.337080743947,382,1.03753162498415
1.81e+08,401.165368624709,381,1.05292747670527
1.91e+08,406.127659768566,380,1.06875699939096
2.01e+08,411.230223431199,379,1.08504016736464
2.11e+08,416.479765443254,378,1.10179832127845
2.21e+08,421.883469254828,377,1.11905429510564
2.31e+08,427.449041879591,376,1.1368325581904
2.41e+08,433.184765452367,375,1.15515937453964
2.51e+08,439.099555237303,374,1.17406298191792
2.61e+08,445.203025072209,373,1.19357379375927
2.71e+08,451.505561413555,372,1.21372462745579
2.81e+08,458.018407363408,371,1.23455096324369
2.91e+08,464.753758323511,370,1.25609123871219
3.01e+08,471.724871244385,369,1.27838718494413
3.11e+08,478.946189833976,368,1.30148421150537
3.21e+08,486.43348858025,367,1.32543184899251
3.31e+08,494.204039050869,366,1.35028425970183
3.41e+08,502.276802693402,365,1.37610082929699
3.51e+08,510.672655315436,364,1.40294685526219
3.61e+08,519.414649633203,363,1.43089435160662
3.71e+08,528.528323817631,362,1.46002299397136
3.81e+08,538.042065942777,361,1.49042123529855
3.91e+08,547.987546796231,360,1.52218762998953
4.01e+08,558.400236840376,359,1.55543241459715
4.11e+08,569.320027490046,358,1.59027940639678
4.21e+08,580.791982678844,357,1.62686829882029
4.31e+08,592.867254466679,356,1.66535745636708
4.41e+08,605.604206976285,355,1.70592734359517
4.51e+08,619.069807375075,354,1.74878476659626
4.61e+08,633.34136262118,353,1.79416816606567
4.71e+08,648.508708789689,352,1.84235428633434
4.81e+08,664.676999824224,351,1.89366666616588
4.91e+08,681.970300466129,350,1.94848657276037
5.01e+08,700.536273280756,349,2.00726725868411
5.11e+08,720.5523772425,348,2.0705528081681
5.21e+08,742.234190191777,347,2.13900342994748
5.31e+08,765.846771930227,346,2.21342997667696
5.41e+08,791.720472895026,345,2.29484195042036
5.51e+08,820.273400170526,344,2.38451569817013
5.61e+08,852.044134397535,343,2.48409368629019
5.71e+08,887.740758200584,342,2.59573321111282
5.81e+08,928.316859309924,341,2.72233683082089
5.91e+08,975.093613788548,340,2.86792239349573
6.01e+08,1029.95209606068,339,3.03820677304034
6.11e+08,1095.49323350111,338,3.24110424112755
6.21e+08,1174.01736705505,337,3.48373105951053
6.31e+08,1260.78926451338,336,3.75234900152792
6.41e+08,1327.32222075682,335,3.96215588285617
6.51e+08,1315.66621965471,334,3.93912041812788
6.61e+08,1188.84063040636,333,3.57009198320228
6.71e+08,998.845610244518,332,3.00857111519433
6.81e+08,848.108914138281,331,2.56226258047819
6.91e+08,782.612030325124,330,2.37155160704583
7.01e+08,776.99482508161,329,2.36168639842435
7.11e+08,795.000388699933,328,2.42378167286565
7.21e+08,819.787680042981,327,2.50699596343419
7.31e+08,847.380277873354,326,2.59932600574649
7.41e+08,876.735285090426,325,2.69764703104746
7.51e+08,904.772414400049,324,2.792507451852
7.61e+08,923.640474205922,323,2.85956803159728
7.71e+08,921.278538308393,322,2.86111347300743
7.81e+08,888.13889538464,321,2.76678783608922
7.91e+08,826.96388024408,320,2.58426212576275
8.01e+08,755.246016936188,319,2.36754237284071
8.11e+08,694.926033535279,318,2.1853019922493
8.21e+08,658.582182910032,317,2.07754631832818
8.31e+08,645.250208983452,316,2.04193104108687
8.41e+08,646.67537723166,315,2.05293770549733
8.51e+08,654.890945410593,314,2.08563995353692
8.61e+08,665.190387898564,313,2.12520890702417
8.71e+08,675.503863098683,312,2.16507648429065
8.81e+08,685.072958411763,311,2.20280694023075
8.91e+08,693.680389907763,310,2.23767867712182
9.01e+08,701.361348077757,309,2.26977782549436
9.11e+08,708.287330589876,308,2.29963419022687
9.21e+08,714.669259293275,307,2.32791289672076
9.31e+08,720.654856044261,306,2.35508122890281
9.41e+08,726.249964514857,305,2.38114742463888
9.51e+08,731.305313049523,304,2.40560958239975
9.61e+08,735.589920792531,303,2.42768950756611
9.71e+08,738.925967918643,302,2.44677472820743
9.81e+08,741.307903936805,301,2.46281695660068
9.91e+08,742.904046189587,300,2.47634682063196
1.001e+09,743.871082627795,299,2.48786315260132
1.011e+09,744.009014479136,298,2.496674545232
1.021e+09,742.422257554033,297,2.49973824092267
1.031e+09,737.461283761431,296,2.49142325595078
1.041e+09,727.180035706363,295,2.46501707019106
1.051e+09,710.268633034504,294,2.41587970419899
1.061e+09,687.009264929682,293,2.34474151853134
1.071e+09,659.596313910438,292,2.25889148599465
1.081e+09,631.46657592221,291,2.16998823340966
1.091e+09,605.965447673544,290,2.0895360264605
1.101e+09,585.15612432481,289,2.02476167586439
1.111e+09,569.420320286337,288,1.97715388988311
1.121e+09,557.880854164433,287,1.94383572879593
1.131e+09,549.178431071422,286,1.92020430444553
1.141e+09,542.10518470519,285,1.90212345510593
1.151e+09,535.890525630736,284,1.88693847053076
1.161e+09,530.209021655603,283,1.87353011185725
1.171e+09,525.065292313499,282,1.86193366068617
1.181e+09,520.661220016527,281,1.85288690397341
1.191e+09,517.28159069279,280,1.84743425247425
1.201e+09,515.201225074262,279,1.84659937302603
1.211e+09,514.613778043116,278,1.85112869799682
1.221e+09,515.587118351076,277,1.86132533700749
1.231e+09,518.050185862045,276,1.8769934270364
1.241e+09,521.810798005933,275,1.89749381093067
1.251e+09,526.597037830586,274,1.9218869993817
1.261e+09,532.110137816736,273,1.94912138394409
1.271e+09,538.075614621414,272,1.97821917140226
1.281e+09,544.281498922397,271,2.0084188152118
1.291e+09,550.596719764549,270,2.03924711023907
1.301e+09,556.967848671639,269,2.07051244859345
1.311e+09,563.39747536933,268,2.10222938570646
1.321e+09,569.911577952996,267,2.13450029195879
1.331e+09,576.5255160365,266,2.16738915803196
1.341e+09,583.21807492041,265,2.20082292422796
1.351e+09,589.920225820126,264,2.23454630992472
1.361e+09,596.520637637431,263,2.2681393066062
1.371e+09,602.884881767763,262,2.30108733499146
1.381e+09,608.881362061944,261,2.33287878184653
1.391e+09,614.405537292134,260,2.36309822035436
1.401e+09,619.395349010232,259,2.39148783401634
1.411e+09,623.834261152039,258,2.41796225252728
1.421e+09,627.742560239982,257,2.44257805540849
