timestamp,case,tier,sample,step,elapsed_sec,status,note
2025-11-10 11:41:44+0800,1,a,1a,script_start,NA,ok,
2025-11-10 11:41:44+0800,1,a,1a,read_input,0.003,ok,
2025-11-10 11:41:44+0800,1,a,1a,isoplot_read_data,0.001,ok,
2025-11-10 11:41:45+0800,1,a,1a,isoplot_concordia,0.463,ok,
2025-11-10 11:42:03+0800,1,a,1a,bootstrap_001,18.524,ok,
2025-11-10 11:42:20+0800,1,a,1a,bootstrap_002,17.344,ok,
2025-11-10 11:42:39+0800,1,a,1a,bootstrap_003,18.473,ok,
2025-11-10 11:42:57+0800,1,a,1a,bootstrap_004,18.404,ok,
2025-11-10 11:43:08+0800,1,a,1a,bootstrap_005,10.244,ok,
2025-11-10 11:43:08+0800,1,a,1a,script_end,83.511,ok,
2025-11-11 09:12:34+0800,1,a,1a,script_start,NA,ok,
2025-11-11 09:12:34+0800,1,a,1a,read_input,0.002,ok,
2025-11-11 09:12:34+0800,1,a,1a,isoplot_read_data,0.001,ok,
2025-11-11 09:12:34+0800,1,a,1a,isoplot_concordia,0.268,ok,
2025-11-11 09:12:49+0800,1,a,1a,bootstrap_001,15.06,ok,
2025-11-11 09:13:04+0800,1,a,1a,bootstrap_002,14.298,ok,
2025-11-11 09:13:16+0800,1,a,1a,bootstrap_003,12.286,ok,
2025-11-11 09:13:28+0800,1,a,1a,bootstrap_004,11.8,ok,
2025-11-11 09:13:41+0800,1,a,1a,bootstrap_005,13.217,ok,
2025-11-11 09:13:55+0800,1,a,1a,bootstrap_006,13.694,ok,
2025-11-11 09:14:08+0800,1,a,1a,bootstrap_007,13.602,ok,
2025-11-11 09:14:21+0800,1,a,1a,bootstrap_008,13.24,ok,
2025-11-11 09:14:35+0800,1,a,1a,bootstrap_009,13.684,ok,
2025-11-11 09:14:50+0800,1,a,1a,bootstrap_010,14.9,ok,
2025-11-11 09:15:04+0800,1,a,1a,bootstrap_011,14.013,ok,
2025-11-11 09:15:18+0800,1,a,1a,bootstrap_012,13.854,ok,
2025-11-11 09:15:33+0800,1,a,1a,bootstrap_013,15.01,ok,
2025-11-11 09:15:46+0800,1,a,1a,bootstrap_014,12.906,ok,
2025-11-11 09:15:58+0800,1,a,1a,bootstrap_015,12.628,ok,
2025-11-11 09:16:12+0800,1,a,1a,bootstrap_016,13.385,ok,
2025-11-11 09:16:26+0800,1,a,1a,bootstrap_017,14.089,ok,
2025-11-11 09:16:39+0800,1,a,1a,bootstrap_018,13.416,ok,
2025-11-11 09:16:52+0800,1,a,1a,bootstrap_019,12.555,ok,
2025-11-11 09:17:05+0800,1,a,1a,bootstrap_020,13.474,ok,
2025-11-11 09:17:19+0800,1,a,1a,bootstrap_021,13.576,ok,
2025-11-11 09:17:33+0800,1,a,1a,bootstrap_022,14.381,ok,
2025-11-11 09:17:49+0800,1,a,1a,bootstrap_023,15.604,ok,
2025-11-11 09:18:04+0800,1,a,1a,bootstrap_024,15.469,ok,
2025-11-11 09:18:21+0800,1,a,1a,bootstrap_025,16.437,ok,
2025-11-11 09:18:33+0800,1,a,1a,bootstrap_026,12.107,ok,
2025-11-11 09:18:46+0800,1,a,1a,bootstrap_027,12.719,ok,
2025-11-11 09:18:59+0800,1,a,1a,bootstrap_028,13.06,ok,
2025-11-11 09:19:13+0800,1,a,1a,bootstrap_029,13.945,ok,
2025-11-11 09:19:27+0800,1,a,1a,bootstrap_030,14.139,ok,
2025-11-11 09:19:41+0800,1,a,1a,bootstrap_031,14.483,ok,
2025-11-11 09:19:55+0800,1,a,1a,bootstrap_032,13.913,ok,
2025-11-11 09:20:10+0800,1,a,1a,bootstrap_033,15.098,ok,
2025-11-11 09:20:26+0800,1,a,1a,bootstrap_034,15.647,ok,
2025-11-11 09:20:42+0800,1,a,1a,bootstrap_035,15.727,ok,
2025-11-11 09:20:58+0800,1,a,1a,bootstrap_036,15.941,ok,
2025-11-11 09:21:13+0800,1,a,1a,bootstrap_037,15.539,ok,
2025-11-11 09:21:25+0800,1,a,1a,bootstrap_038,11.619,ok,
2025-11-11 09:21:37+0800,1,a,1a,bootstrap_039,12.613,ok,
2025-11-11 09:21:50+0800,1,a,1a,bootstrap_040,12.167,ok,
2025-11-11 09:22:02+0800,1,a,1a,bootstrap_041,12.87,ok,
2025-11-11 09:22:17+0800,1,a,1a,bootstrap_042,14.371,ok,
2025-11-11 09:22:32+0800,1,a,1a,bootstrap_043,15.218,ok,
2025-11-11 09:22:47+0800,1,a,1a,bootstrap_044,15.009,ok,
2025-11-11 09:23:02+0800,1,a,1a,bootstrap_045,14.726,ok,
2025-11-11 09:23:17+0800,1,a,1a,bootstrap_046,15.242,ok,
2025-11-11 09:23:32+0800,1,a,1a,bootstrap_047,14.964,ok,
2025-11-11 09:23:48+0800,1,a,1a,bootstrap_048,15.616,ok,
2025-11-11 09:24:04+0800,1,a,1a,bootstrap_049,16.233,ok,
2025-11-11 09:24:20+0800,1,a,1a,bootstrap_050,15.741,ok,
2025-11-11 09:24:33+0800,1,a,1a,bootstrap_051,13.808,ok,
2025-11-11 09:24:47+0800,1,a,1a,bootstrap_052,13.83,ok,
2025-11-11 09:25:01+0800,1,a,1a,bootstrap_053,13.973,ok,
2025-11-11 09:25:15+0800,1,a,1a,bootstrap_054,13.915,ok,
2025-11-11 09:25:29+0800,1,a,1a,bootstrap_055,14.241,ok,
2025-11-11 09:25:44+0800,1,a,1a,bootstrap_056,14.757,ok,
2025-11-11 09:25:59+0800,1,a,1a,bootstrap_057,15.365,ok,
2025-11-11 09:26:14+0800,1,a,1a,bootstrap_058,14.149,ok,
2025-11-11 09:26:29+0800,1,a,1a,bootstrap_059,14.899,ok,
2025-11-11 09:26:45+0800,1,a,1a,bootstrap_060,16.15,ok,
2025-11-11 09:27:01+0800,1,a,1a,bootstrap_061,16.699,ok,
2025-11-11 09:27:17+0800,1,a,1a,bootstrap_062,15.775,ok,
2025-11-11 09:27:30+0800,1,a,1a,bootstrap_063,12.625,ok,
2025-11-11 09:27:42+0800,1,a,1a,bootstrap_064,12.171,ok,
2025-11-11 09:27:56+0800,1,a,1a,bootstrap_065,14.348,ok,
2025-11-11 09:28:03+0800,1,a,1a,bootstrap_066,7.036,ok,
2025-11-11 09:28:03+0800,1,a,1a,script_end,929.397,ok,
2025-11-11 09:29:46+0800,1,a,1a,script_start,NA,ok,
2025-11-11 09:29:46+0800,1,a,1a,read_input,0.001,ok,
2025-11-11 09:29:46+0800,1,a,1a,isoplot_read_data,0.001,ok,
2025-11-11 09:29:46+0800,1,a,1a,isoplot_concordia,0.269,ok,
2025-11-11 09:30:02+0800,1,a,1a,bootstrap_001,15.684,ok,
2025-11-11 09:30:02+0800,1,a,1a,progress,NA,ok,bootstrap 1/200
2025-11-11 09:30:20+0800,1,a,1a,bootstrap_002,18.156,ok,
2025-11-11 09:30:40+0800,1,a,1a,bootstrap_003,19.992,ok,
2025-11-11 09:30:59+0800,1,a,1a,bootstrap_004,19.121,ok,
2025-11-11 09:31:17+0800,1,a,1a,bootstrap_005,17.692,ok,
2025-11-11 09:31:37+0800,1,a,1a,bootstrap_006,20.006,ok,
2025-11-11 09:31:56+0800,1,a,1a,bootstrap_007,18.818,ok,
2025-11-11 09:32:15+0800,1,a,1a,bootstrap_008,18.828,ok,
2025-11-11 09:32:34+0800,1,a,1a,bootstrap_009,19.604,ok,
2025-11-11 09:32:54+0800,1,a,1a,bootstrap_010,19.77,ok,
2025-11-11 09:32:54+0800,1,a,1a,progress,NA,ok,bootstrap 10/200
2025-11-11 09:33:13+0800,1,a,1a,bootstrap_011,19.067,ok,
2025-11-11 09:33:31+0800,1,a,1a,bootstrap_012,17.904,ok,
2025-11-11 09:33:48+0800,1,a,1a,bootstrap_013,16.878,ok,
2025-11-11 09:34:07+0800,1,a,1a,bootstrap_014,18.63,ok,
2025-11-11 09:34:24+0800,1,a,1a,bootstrap_015,17.673,ok,
2025-11-11 09:34:42+0800,1,a,1a,bootstrap_016,17.657,ok,
2025-11-11 09:35:00+0800,1,a,1a,bootstrap_017,18.002,ok,
2025-11-11 09:35:18+0800,1,a,1a,bootstrap_018,18.325,ok,
2025-11-11 09:35:37+0800,1,a,1a,bootstrap_019,18.762,ok,
2025-11-11 09:35:55+0800,1,a,1a,bootstrap_020,18.16,ok,
2025-11-11 09:35:55+0800,1,a,1a,progress,NA,ok,bootstrap 20/200
2025-11-11 09:36:12+0800,1,a,1a,bootstrap_021,16.958,ok,
2025-11-11 09:36:32+0800,1,a,1a,bootstrap_022,19.471,ok,
2025-11-11 09:36:53+0800,1,a,1a,bootstrap_023,20.924,ok,
2025-11-11 09:37:11+0800,1,a,1a,bootstrap_024,18.706,ok,
2025-11-11 09:37:30+0800,1,a,1a,bootstrap_025,18.713,ok,
2025-11-11 09:37:49+0800,1,a,1a,bootstrap_026,19.081,ok,
2025-11-11 09:38:08+0800,1,a,1a,bootstrap_027,18.702,ok,
2025-11-11 09:38:24+0800,1,a,1a,bootstrap_028,15.967,ok,
2025-11-11 09:38:37+0800,1,a,1a,bootstrap_029,13.547,ok,
2025-11-11 09:38:51+0800,1,a,1a,bootstrap_030,14.031,ok,
2025-11-11 09:38:51+0800,1,a,1a,progress,NA,ok,bootstrap 30/200
2025-11-11 09:39:05+0800,1,a,1a,bootstrap_031,13.649,ok,
2025-11-11 09:39:19+0800,1,a,1a,bootstrap_032,13.544,ok,
2025-11-11 09:39:33+0800,1,a,1a,bootstrap_033,14.228,ok,
2025-11-11 09:39:48+0800,1,a,1a,bootstrap_034,15.624,ok,
2025-11-11 09:40:05+0800,1,a,1a,bootstrap_035,16.688,ok,
