method,phase,sample,tier,R,n_grid,elapsed_s,per_run_median_s,per_run_p95_s,rss_peak_mb,python,numpy
CDC,MC,1A,A,200,200,46.362,0.2312,0.2356,311.3,3.11.7,1.26.4
CDC,e2e_runtime,1A,A,200,200,46.697,,,313.0,3.11.7,1.26.4
CDC,MC,1B,B,200,200,48.051,0.2393,0.2453,527.4,3.11.7,1.26.4
CDC,e2e_runtime,1B,B,200,200,48.393,,,529.4,3.11.7,1.26.4
CDC,MC,1C,C,200,200,47.53,0.2367,0.2387,743.6,3.11.7,1.26.4
CDC,e2e_runtime,1C,C,200,200,47.895,,,745.6,3.11.7,1.26.4
CDC,MC,2A,A,200,200,51.268,0.2553,0.2606,974.1,3.11.7,1.26.4
CDC,e2e_runtime,2A,A,200,200,51.645,,,974.3,3.11.7,1.26.4
CDC,MC,2B,B,200,200,49.481,0.2462,0.2507,1196.8,3.11.7,1.26.4
CDC,e2e_runtime,2B,B,200,200,49.847,,,1198.8,3.11.7,1.26.4
CDC,MC,2C,C,200,200,48.944,0.2434,0.2481,1420.2,3.11.7,1.26.4
CDC,e2e_runtime,2C,C,200,200,49.313,,,1421.4,3.11.7,1.26.4
CDC,MC,3A,A,200,200,39.789,0.1978,0.2007,1611.2,3.11.7,1.26.4
CDC,e2e_runtime,3A,A,200,200,40.159,,,1612.1,3.11.7,1.26.4
CDC,MC,3B,B,200,200,36.092,0.1792,0.1803,1792.3,3.11.7,1.26.4
CDC,e2e_runtime,3B,B,200,200,36.454,,,1793.8,3.11.7,1.26.4
CDC,MC,3C,C,200,200,35.032,0.1745,0.177,1972.0,3.11.7,1.26.4
CDC,e2e_runtime,3C,C,200,200,35.399,,,1974.1,3.11.7,1.26.4
CDC,MC,4A,A,200,200,53.468,0.2657,0.2715,2206.8,3.11.7,1.26.4
CDC,e2e_runtime,4A,A,200,200,53.836,,,2207.8,3.11.7,1.26.4
CDC,MC,4B,B,200,200,53.792,0.2683,0.272,2444.0,3.11.7,1.26.4
CDC,e2e_runtime,4B,B,200,200,54.17,,,2444.8,3.11.7,1.26.4
CDC,MC,4C,C,200,200,52.765,0.2623,0.2652,2674.6,3.11.7,1.26.4
CDC,e2e_runtime,4C,C,200,200,53.168,,,2675.9,3.11.7,1.26.4
CDC,MC,5A,A,200,200,55.868,0.2789,0.2849,2915.9,3.11.7,1.26.4
CDC,e2e_runtime,5A,A,200,200,56.228,,,2916.7,3.11.7,1.26.4
CDC,MC,5B,B,200,200,57.933,0.2873,0.2905,3158.2,3.11.7,1.26.4
CDC,e2e_runtime,5B,B,200,200,58.298,,,3158.4,3.11.7,1.26.4
CDC,MC,5C,C,200,200,56.635,0.2825,0.2873,3399.0,3.11.7,1.26.4
CDC,e2e_runtime,5C,C,200,200,57.002,,,3399.7,3.11.7,1.26.4
CDC,MC,6A,A,200,200,50.308,0.2492,0.2542,3617.0,3.11.7,1.26.4
CDC,e2e_runtime,6A,A,200,200,50.687,,,3617.8,3.11.7,1.26.4
CDC,MC,6B,B,200,200,50.584,0.2524,0.2546,3841.2,3.11.7,1.26.4
CDC,e2e_runtime,6B,B,200,200,50.954,,,3842.0,3.11.7,1.26.4
CDC,MC,6C,C,200,200,51.553,0.2574,0.2609,4068.5,3.11.7,1.26.4
CDC,e2e_runtime,6C,C,200,200,51.918,,,4069.5,3.11.7,1.26.4
CDC,MC,7A,A,200,200,60.042,0.2974,0.304,4316.2,3.11.7,1.26.4
CDC,e2e_runtime,7A,A,200,200,60.416,,,4316.4,3.11.7,1.26.4
CDC,MC,7B,B,200,200,58.619,0.2927,0.2957,4564.5,3.11.7,1.26.4
CDC,e2e_runtime,7B,B,200,200,58.989,,,4565.4,3.11.7,1.26.4
CDC,MC,7C,C,200,200,58.569,0.292,0.2996,4812.0,3.11.7,1.26.4
CDC,e2e_runtime,7C,C,200,200,58.884,,,4812.1,3.11.7,1.26.4
