method,phase,sample,tier,R,n_grid,elapsed_s,per_run_median_s,per_run_p95_s,rss_peak_mb,python,numpy
CDC,MC,1A,A,200,200,58.719,0.2849,0.3407,315.5,3.11.7,1.26.4
CDC,e2e_runtime,1A,A,200,200,59.225,,,319.3,3.11.7,1.26.4
CDC,MC,1B,B,200,200,57.554,0.2896,0.312,536.8,3.11.7,1.26.4
CDC,e2e_runtime,1B,B,200,200,57.961,,,538.9,3.11.7,1.26.4
CDC,MC,1C,C,200,200,50.373,0.2504,0.2565,755.6,3.11.7,1.26.4
CDC,e2e_runtime,1C,C,200,200,50.793,,,756.2,3.11.7,1.26.4
CDC,MC,2A,A,200,200,54.442,0.2705,0.2791,988.0,3.11.7,1.26.4
CDC,e2e_runtime,2A,A,200,200,54.883,,,989.2,3.11.7,1.26.4
CDC,MC,2B,B,200,200,52.716,0.2623,0.2681,1214.8,3.11.7,1.26.4
CDC,e2e_runtime,2B,B,200,200,53.15,,,1217.0,3.11.7,1.26.4
CDC,MC,2C,C,200,200,52.01,0.2584,0.2663,1441.2,3.11.7,1.26.4
CDC,e2e_runtime,2C,C,200,200,52.456,,,1441.5,3.11.7,1.26.4
CDC,MC,3A,A,200,200,42.057,0.2083,0.2157,1634.7,3.11.7,1.26.4
CDC,e2e_runtime,3A,A,200,200,42.483,,,1636.9,3.11.7,1.26.4
CDC,MC,3B,B,200,200,38.325,0.1885,0.2023,1820.1,3.11.7,1.26.4
CDC,e2e_runtime,3B,B,200,200,38.747,,,1821.3,3.11.7,1.26.4
CDC,MC,3C,C,200,200,37.017,0.1845,0.1888,2002.3,3.11.7,1.26.4
CDC,e2e_runtime,3C,C,200,200,37.434,,,2003.3,3.11.7,1.26.4
CDC,MC,4A,A,200,200,56.534,0.2802,0.2878,2202.3,3.11.7,1.26.4
CDC,e2e_runtime,4A,A,200,200,56.974,,,2202.3,3.11.7,1.26.4
CDC,MC,4B,B,200,200,57.068,0.2843,0.2951,2354.4,3.11.7,1.26.4
CDC,e2e_runtime,4B,B,200,200,57.556,,,2355.4,3.11.7,1.26.4
CDC,MC,4C,C,200,200,56.078,0.2771,0.2882,2705.4,3.11.7,1.26.4
CDC,e2e_runtime,4C,C,200,200,56.528,,,2706.0,3.11.7,1.26.4
CDC,MC,5A,A,200,200,58.868,0.2938,0.3005,2948.6,3.11.7,1.26.4
CDC,e2e_runtime,5A,A,200,200,59.3,,,2950.0,3.11.7,1.26.4
CDC,MC,5B,B,200,200,61.444,0.3039,0.3131,3194.2,3.11.7,1.26.4
CDC,e2e_runtime,5B,B,200,200,61.904,,,3195.4,3.11.7,1.26.4
CDC,MC,5C,C,200,200,59.81,0.2973,0.3085,3438.4,3.11.7,1.26.4
CDC,e2e_runtime,5C,C,200,200,60.239,,,3440.3,3.11.7,1.26.4
CDC,MC,6A,A,200,200,52.67,0.2626,0.2683,3664.0,3.11.7,1.26.4
CDC,e2e_runtime,6A,A,200,200,53.117,,,3664.5,3.11.7,1.26.4
CDC,MC,6B,B,200,200,54.048,0.2664,0.2763,3888.6,3.11.7,1.26.4
CDC,e2e_runtime,6B,B,200,200,54.503,,,3888.8,3.11.7,1.26.4
CDC,MC,6C,C,200,200,54.352,0.2706,0.2813,4117.8,3.11.7,1.26.4
CDC,e2e_runtime,6C,C,200,200,54.805,,,4118.6,3.11.7,1.26.4
CDC,MC,7A,A,200,200,62.774,0.3128,0.3197,4371.2,3.11.7,1.26.4
CDC,e2e_runtime,7A,A,200,200,63.204,,,4372.2,3.11.7,1.26.4
CDC,MC,7B,B,200,200,62.515,0.3077,0.3178,4620.6,3.11.7,1.26.4
CDC,e2e_runtime,7B,B,200,200,62.946,,,4622.1,3.11.7,1.26.4
CDC,MC,7C,C,200,200,61.794,0.3078,0.3168,4871.5,3.11.7,1.26.4
CDC,e2e_runtime,7C,C,200,200,62.164,,,4872.8,3.11.7,1.26.4
CDC,MC,8A,A,200,200,16.541,0.0823,0.085,4999.3,3.11.7,1.26.4
CDC,e2e_runtime,8A,A,200,200,16.927,,,5000.8,3.11.7,1.26.4
CDC,MC,8B,B,200,200,16.583,0.0824,0.0848,5127.8,3.11.7,1.26.4
CDC,e2e_runtime,8B,B,200,200,16.913,,,5128.9,3.11.7,1.26.4
CDC,MC,8C,C,200,200,17.984,0.0855,0.0878,5255.9,3.11.7,1.26.4
CDC,e2e_runtime,8C,C,200,200,18.319,,,5256.1,3.11.7,1.26.4
