param,param_label,value,is_default,case,true_ages,n_peaks,peak_ages_str,n_recovered,n_true,n_covered,recovered_str,covered_str
f_d,Peak-distance fraction (f_d),0.05,,1A,700,1,701,1,1,1,700,700
f_d,Peak-distance fraction (f_d),0.07,,1A,700,1,701,1,1,1,700,700
f_d,Peak-distance fraction (f_d),0.1,*,1A,700,1,701,1,1,1,700,700
f_d,Peak-distance fraction (f_d),0.13,,1A,700,1,701,1,1,1,700,700
f_d,Peak-distance fraction (f_d),0.2,,1A,700,1,701,1,1,1,700,700
f_d,Peak-distance fraction (f_d),0.05,,1B,700,1,697,1,1,1,700,700
f_d,Peak-distance fraction (f_d),0.07,,1B,700,1,697,1,1,1,700,700
f_d,Peak-distance fraction (f_d),0.1,*,1B,700,1,697,1,1,1,700,700
f_d,Peak-distance fraction (f_d),0.13,,1B,700,1,697,1,1,1,700,700
f_d,Peak-distance fraction (f_d),0.2,,1B,700,1,697,1,1,1,700,700
f_d,Peak-distance fraction (f_d),0.05,,1C,700,1,681,1,1,0,700,
f_d,Peak-distance fraction (f_d),0.07,,1C,700,1,681,1,1,0,700,
f_d,Peak-distance fraction (f_d),0.1,*,1C,700,1,681,1,1,0,700,
f_d,Peak-distance fraction (f_d),0.13,,1C,700,1,681,1,1,0,700,
f_d,Peak-distance fraction (f_d),0.2,,1C,700,1,681,1,1,0,700,
f_d,Peak-distance fraction (f_d),0.05,,2A,"300, 1800",2,"383, 1791",2,2,1,"300, 1800",1800
f_d,Peak-distance fraction (f_d),0.07,,2A,"300, 1800",2,"383, 1791",2,2,1,"300, 1800",1800
f_d,Peak-distance fraction (f_d),0.1,*,2A,"300, 1800",2,"383, 1791",2,2,1,"300, 1800",1800
f_d,Peak-distance fraction (f_d),0.13,,2A,"300, 1800",2,"383, 1791",2,2,1,"300, 1800",1800
f_d,Peak-distance fraction (f_d),0.2,,2A,"300, 1800",2,"383, 1791",2,2,1,"300, 1800",1800
f_d,Peak-distance fraction (f_d),0.05,,2B,"300, 1800",2,"423, 1784",1,2,0,1800,
f_d,Peak-distance fraction (f_d),0.07,,2B,"300, 1800",2,"423, 1784",1,2,0,1800,
f_d,Peak-distance fraction (f_d),0.1,*,2B,"300, 1800",2,"423, 1784",1,2,0,1800,
f_d,Peak-distance fraction (f_d),0.13,,2B,"300, 1800",2,"423, 1784",1,2,0,1800,
