param,param_label,value,is_default,case,true_ages,n_peaks,peak_ages_str,n_recovered,n_true,n_covered,recovered_str,covered_str
r_min,Minimum supporting runs (r_min),3,,1A,700,1,701,1,1,1,700,700
r_min,Minimum supporting runs (r_min),5,*,1A,700,1,701,1,1,1,700,700
r_min,Minimum supporting runs (r_min),7,,1A,700,1,701,1,1,1,700,700
r_min,Minimum supporting runs (r_min),10,,1A,700,1,701,1,1,1,700,700
r_min,Minimum supporting runs (r_min),15,,1A,700,1,701,1,1,1,700,700
r_min,Minimum supporting runs (r_min),3,,1B,700,1,697,1,1,1,700,700
r_min,Minimum supporting runs (r_min),5,*,1B,700,1,697,1,1,1,700,700
r_min,Minimum supporting runs (r_min),7,,1B,700,1,697,1,1,1,700,700
r_min,Minimum supporting runs (r_min),10,,1B,700,1,697,1,1,1,700,700
r_min,Minimum supporting runs (r_min),15,,1B,700,1,697,1,1,1,700,700
r_min,Minimum supporting runs (r_min),3,,1C,700,1,681,1,1,0,700,
r_min,Minimum supporting runs (r_min),5,*,1C,700,1,681,1,1,0,700,
r_min,Minimum supporting runs (r_min),7,,1C,700,1,681,1,1,0,700,
r_min,Minimum supporting runs (r_min),10,,1C,700,1,681,1,1,0,700,
r_min,Minimum supporting runs (r_min),15,,1C,700,1,681,1,1,0,700,
r_min,Minimum supporting runs (r_min),3,,2A,"300, 1800",2,"383, 1791",2,2,1,"300, 1800",1800
r_min,Minimum supporting runs (r_min),5,*,2A,"300, 1800",2,"383, 1791",2,2,1,"300, 1800",1800
r_min,Minimum supporting runs (r_min),7,,2A,"300, 1800",2,"383, 1791",2,2,1,"300, 1800",1800
r_min,Minimum supporting runs (r_min),10,,2A,"300, 1800",2,"383, 1791",2,2,1,"300, 1800",1800
r_min,Minimum supporting runs (r_min),15,,2A,"300, 1800",2,"383, 1791",2,2,1,"300, 1800",1800
r_min,Minimum supporting runs (r_min),3,,2B,"300, 1800",2,"423, 1784",1,2,0,1800,
r_min,Minimum supporting runs (r_min),5,*,2B,"300, 1800",2,"423, 1784",1,2,0,1800,
r_min,Minimum supporting runs (r_min),7,,2B,"300, 1800",2,"423, 1784",1,2,0,1800,
r_min,Minimum supporting runs (r_min),10,,2B,"300, 1800",2,"423, 1784",1,2,0,1800,
r_min,Minimum supporting runs (r_min),15,,2B,"300, 1800",2,"423, 1784",1,2,0,1800,
r_min,Minimum supporting runs (r_min),3,,2C,"300, 1800",2,"433, 1797",1,2,1,1800,1800
r_min,Minimum supporting runs (r_min),5,*,2C,"300, 1800",2,"433, 1797",1,2,1,1800,1800
r_min,Minimum supporting runs (r_min),7,,2C,"300, 1800",2,"433, 1797",1,2,1,1800,1800
r_min,Minimum supporting runs (r_min),10,,2C,"300, 1800",2,"433, 1797",1,2,1,1800,1800
r_min,Minimum supporting runs (r_min),15,,2C,"300, 1800",2,"433, 1797",1,2,1,1800,1800
r_min,Minimum supporting runs (r_min),3,,3A,400,1,402,1,1,1,400,400
r_min,Minimum supporting runs (r_min),5,*,3A,400,1,402,1,1,1,400,400
r_min,Minimum supporting runs (r_min),7,,3A,400,1,402,1,1,1,400,400
r_min,Minimum supporting runs (r_min),10,,3A,400,1,402,1,1,1,400,400
r_min,Minimum supporting runs (r_min),15,,3A,400,1,402,1,1,1,400,400
r_min,Minimum supporting runs (r_min),3,,3B,400,1,403,1,1,1,400,400
r_min,Minimum supporting runs (r_min),5,*,3B,400,1,403,1,1,1,400,400
r_min,Minimum supporting runs (r_min),7,,3B,400,1,403,1,1,1,400,400
r_min,Minimum supporting runs (r_min),10,,3B,400,1,403,1,1,1,400,400
r_min,Minimum supporting runs (r_min),15,,3B,400,1,403,1,1,1,400,400
r_min,Minimum supporting runs (r_min),3,,3C,400,1,399,1,1,1,400,400
r_min,Minimum supporting runs (r_min),5,*,3C,400,1,399,1,1,1,400,400
r_min,Minimum supporting runs (r_min),7,,3C,400,1,399,1,1,1,400,400
r_min,Minimum supporting runs (r_min),10,,3C,400,1,399,1,1,1,400,400
r_min,Minimum supporting runs (r_min),15,,3C,400,1,399,1,1,1,400,400
r_min,Minimum supporting runs (r_min),3,,4A,"500, 1800",2,"553, 1827",2,2,0,"500, 1800",
r_min,Minimum supporting runs (r_min),5,*,4A,"500, 1800",2,"553, 1827",2,2,0,"500, 1800",
r_min,Minimum supporting runs (r_min),7,,4A,"500, 1800",2,"553, 1827",2,2,0,"500, 1800",
r_min,Minimum supporting runs (r_min),10,,4A,"500, 1800",2,"553, 1827",2,2,0,"500, 1800",
r_min,Minimum supporting runs (r_min),15,,4A,"500, 1800",2,"553, 1827",2,2,0,"500, 1800",
r_min,Minimum supporting runs (r_min),3,,4B,"500, 1800",2,"574, 1798",2,2,1,"500, 1800",1800
r_min,Minimum supporting runs (r_min),5,*,4B,"500, 1800",2,"574, 1798",2,2,1,"500, 1800",1800
r_min,Minimum supporting runs (r_min),7,,4B,"500, 1800",2,"574, 1798",2,2,1,"500, 1800",1800
