sample_id,pb207_u235_ratio,pb207_u235_ratio_2sigma_abs,pb206_u238_ratio,pb206_u238_ratio_2sigma_abs,error_correlation_rho,age_207pb_206pb_ma
8A,21.34894260584496,0.40088123848263657,0.6312601080166215,0.01185353010584715,0.85,3154.5707561963163
8A,21.496589679057674,0.514786584310223,0.6329528757911689,0.015157550747470563,0.85,3161.256767937097
8A,20.616466125942644,0.6084423645440601,0.6227202943141874,0.01837799970215668,0.85,3120.7344721701925
8A,21.290622053884476,0.5476221812128625,0.6305888685700877,0.0162195567034594,0.85,3151.9176060475093
8A,21.243043336721616,0.40378179330652697,0.6300401653052311,0.011975626268309803,0.85,3149.7479826374356
8A,21.539484241598018,0.6146356398753645,0.633442905441826,0.018075483198378654,0.85,3163.1909696229422
8A,21.270277791435102,0.562710139322348,0.6303543685029495,0.01667617122826553,0.85,3150.9904604634185
8A,21.402754020240465,0.31129822952707337,0.6318781419000966,0.009190525044783323,0.85,3157.0126401337807
8A,21.370093677781615,0.2409765516019203,0.631503181313038,0.007121047818179492,0.85,3155.5312617612376
8A,21.53916869678585,0.48750220801673894,0.6334393035116004,0.01433681417577509,0.85,3163.176754519609
8A,21.187888446248582,0.3621120177431644,0.6294028506270741,0.01075682160551599,0.85,3147.227064546821
8A,21.6540308271849,0.6033337541422652,0.6347476515495547,0.017685607201666943,0.85,3168.3381200801105
8A,21.108229619172118,0.29325186695408695,0.6284800330263457,0.008731331161043653,0.85,3143.5750826675535
8A,21.424209814689455,0.23301131952487664,0.6321242168904039,0.006875030591806092,0.85,3157.9846377833
8A,10.801447526530799,0.2555728237953112,0.47516946865536125,0.011242974850109968,0.85,2506.1909891739397
8A,11.106748502329184,0.32598523045734323,0.4811159830961993,0.014120847752466505,0.85,2532.1247140130567
8A,10.64128424127827,0.1852561830499313,0.47199787280419075,0.008217102592204385,0.85,2492.316359063927
8A,10.83693479065674,0.14943512316843763,0.4758672854352357,0.006561937280655634,0.85,2509.2396913386324
8A,10.709982494561988,0.2089956535947529,0.4733627282295082,0.009237246916505579,0.85,2498.290788135177
8A,10.587711059299792,0.24771305137647365,0.47092879598537785,0.011017981920853594,0.85,2487.6327817646315
8A,10.859211508040403,0.28943668806291584,0.4763044318470193,0.012695210620164776,0.85,2511.1488125680517
8A,10.5285114839192,0.1710602302588738,0.46974258797792623,0.007632064170194717,0.85,2482.432072444562
8A,10.614956156353118,0.27700032898401594,0.47147300323820207,0.012303223402943604,0.85,2490.0173543906694
8A,10.749947474054986,0.16948971419142966,0.474153627585207,0.007475772604117866,0.85,2501.7502871371107
8A,10.881688096198026,0.139231739708091,0.4767447998296716,0.006099973394777114,0.85,2513.071431669223
8A,10.847944828416173,0.11007675820557825,0.47608342708619855,0.004830935363145821,0.85,2510.183703446078
8A,10.779916484496544,0.25113989901912737,0.4747452229972111,0.011060147593425534,0.85,2504.3367909803496
8A,5.05234803290618,0.12941377601139353,0.3278892221932231,0.008398744916441466,0.85,1828.142662702165
8A,5.141222351359909,0.10989272248904275,0.3309417197369084,0.007073820986846616,0.85,1842.9444101856081
8A,5.158959754782121,0.06340671834950769,0.33154647296024575,0.004074905568177049,0.85,1845.8728662315998
8A,5.105449868523523,0.09915765995954295,0.32971757388628536,0.006403749701993794,0.85,1837.0125332646014
8A,5.03220059674566,0.12731456010343,0.32719198706225017,0.00827794979578851,0.85,1824.756953425763
8A,5.1989307056267124,0.10954972593793286,0.3329039139473429,0.007014814122666852,0.85,1852.441295976575
8A,5.249361337060481,0.08440449123391718,0.33460609094210414,0.005380131992505039,0.85,1860.6683986968928
8A,5.152268475973439,0.09652438950876083,0.33131850771716914,0.006207036151063779,0.85,1844.7691239162734
8A,5.262923965490614,0.09563034344786142,0.335061893071305,0.006088266545517636,0.85,1862.8696382188573
8A,5.0685949563989166,0.0744008395271816,0.328450050891574,0.004821249229676135,0.85,1830.864705149931
8A,5.100615460428894,0.07971077520354992,0.3295516756925987,0.00515012741950107,0.85,1836.2082157099758
8A,5.197069504780248,0.12077121771575391,0.3328408702111566,0.007734666077488277,0.85,1852.1363860410586
8A,5.145135562965659,0.13211660669802655,0.33107526629893325,0.008501338829612586,0.85,1843.591210304952
8A,1.5551499610112494,0.01835225815360021,0.04611634032740093,0.0008163254387095315,0.85,952.5419252560083
8A,1.4396957240185797,0.0344467465711144,0.04269266607161908,0.0015322231886360361,0.85,905.5930631648852
8A,2.2260833032147977,0.02616315347050191,0.0660121646027266,0.0011637612960802041,0.85,1189.2864921732894
8A,6.341189729495216,0.18632652309708747,0.18804132783173153,0.00828797630446437,0.85,2024.1670487674178
8A,1.342844210334474,0.03766953015200311,0.039820636056342736,0.0016755755869357928,0.85,864.4622691581626
8A,2.184523840375381,0.05927112491587148,0.06477976233916595,0.002636434527282655,0.85,1176.1210104896356
8A,1.3760552830436847,0.03164504981518673,0.04080547557027624,0.0014076011222793107,0.85,878.7548037812842
8A,7.819594687235367,0.1007983584610325,0.23188187561307078,0.004483604333767561,0.85,2210.464451575977
8A,6.909596977701054,0.11703058083840386,0.20489684836672659,0.005205628617784017,0.85,2099.890165502926
8A,1.7306431768853436,0.020169953966643304,0.05132040750503643,0.0008971782318428818,0.85,1019.9900262752733
8A,2.061003756944116,0.03161479446234195,0.06111690387046812,0.0014062553361652741,0.85,1135.95256873731
8A,2.878334895350403,0.08037236538211504,0.0853540011819175,0.003575037245092748,0.85,1376.256192151889
8A,5.6350920534908875,0.13828455201288256,0.16710274213429283,0.0061510249389404095,0.85,1921.4830092021166
8A,1.3592267648933447,0.028675674188214838,0.04030644352212425,0.0012755205444510338,0.85,871.5377198119593
8A,2.615175335693886,0.04136777645728734,0.07755028056475116,0.0018400770075429796,0.85,1304.909739250816
8A,1.959135420586565,0.03663963543876624,0.05809610524279352,0.0016297649163048993,0.85,1101.586168482908
8A,1.0701291014501322,0.021806199634106113,0.03173355565314069,0.0009699599544597316,0.85,738.8038515335224
8A,2.998240370679292,0.07476349892980388,0.08890967224002572,0.0033255496709193285,0.85,1407.1730283820866
8A,3.496150375479049,0.045679604177225976,0.10367467099219256,0.0020318710977121133,0.85,1526.3456958271975
8A,4.714244566427492,0.1387709946356462,0.13979597611962918,0.006172662357295744,0.85,1769.7741830304185
8A,2.0091968109482936,0.047322961028171004,0.059580623246242616,0.002104969132355924,0.85,1118.620300488486
8A,6.207379774347915,0.1619039241410967,0.18407333401410986,0.00720163648511821,0.85,2005.4886223889127
8A,1.452612078117619,0.028720582490240266,0.0430756869997315,0.0012775181073147305,0.85,910.9545727282975
8A,1.5582701261442808,0.032885671730476386,0.04620886555053697,0.0014627851340121016,0.85,953.7810814914233
8A,1.6231844683594812,0.035581584981422075,0.048133832256499476,0.0015827018521010609,0.85,979.2242733972771
8A,1.1341216940171541,0.013816868430246702,0.033631188840447274,0.000614587103587597,0.85,769.7163806706247
8A,1.2662895468744313,0.03463907080039068,0.0375504878376608,0.0015407779484658303,0.85,830.7294849905456
8A,1.6988005428338846,0.03240961082157536,0.05037614760364204,0.0014416095039038882,0.85,1008.0798404935726
8A,3.6624669403569237,0.041500061667294946,0.10860661421328546,0.0018459611761935308,0.85,1563.227592430041
8A,1.7213324113246427,0.048919250596558786,0.05104430652180603,0.002175973570682548,0.85,1016.5219246298727
8A,5.002004966030185,0.05556181189499992,0.14832920883256798,0.002471440848917252,0.85,1819.661445310181
8A,4.807398776498443,0.07864818797347803,0.14255836647571338,0.003498344237194831,0.85,1786.1935885883054
8A,1.9957137513610925,0.029911261803749974,0.05918079726150371,0.001330480625868476,0.85,1114.060534584912
8A,1.7846494517884552,0.01970116884790162,0.05292190692032597,0.0008763262356190694,0.85,1039.8761185592023
8A,1.1435478608501153,0.029778578203167122,0.03391071192731989,0.001324578736436188,0.85,774.1913338797768
8A,1.341681187177289,0.027215274890788652,0.039786147824937376,0.001210560631224843,0.85,863.9580925646313
8A,1.2274294284268026,0.01570541149965478,0.03639813179970763,0.000698591248295749,0.85,813.1676883765723
8A,2.0946812318322787,0.03466678856398835,0.06211557405163836,0.0015420108602600922,0.85,1147.0629093474079
8A,2.56428764431984,0.05030672982948747,0.07604125947179158,0.0022376899319085744,0.85,1290.5155248358715
8A,2.9021395491164372,0.059942083212478556,0.08605990321192915,0.002666279373690623,0.85,1382.4694167090424
8A,0.8207116869058177,0.022335160839413143,0.03623722827999786,0.0014792606251161427,0.85,608.4454093671048
8A,2.9607469136621924,0.08502908796531028,0.13072710368505835,0.005631487622630671,0.85,1397.6063583713853
8A,2.8811650197807284,0.07462879141354034,0.12721329085462388,0.00494267462105084,0.85,1376.9968740370664
8A,0.5652688634522829,0.012039668435596815,0.024958553864051367,0.0007973888159696814,0.85,454.9501009998112
8A,0.8992112210906779,0.01784310608973248,0.0397032512275384,0.0011817512512260395,0.85,651.3059381436027
8A,0.8621783587180247,0.019965693334322052,0.038068123680227654,0.0013223304821915248,0.85,631.3113296975307
8A,1.1882362405903155,0.030003729041193025,0.05246469446922713,0.001987150900609173,0.85,795.1422549125488
8A,1.7206053815181226,0.04942017284060551,0.07597061304796565,0.003273104514230253,0.85,1016.2506191584591
8A,1.142183864367733,0.029246794157384216,0.05043132453354888,0.0019370190042039602,0.85,773.5450129952817
8A,1.0543690607724974,0.013042093531364847,0.04655400057799406,0.0008637795612371727,0.85,731.0440924180004
8A,0.6245546617206525,0.006399220613674762,0.027576224648919026,0.00042382121862926135,0.85,492.6981001129099
8A,1.105729524891501,0.017734295870743738,0.04882174075099412,0.0011745447361837893,0.85,756.117149553809
8A,0.5812060887905133,0.009112247142816783,0.025662236877154965,0.0006035053206740245,0.85,465.23623208940273
8A,0.6340512741841139,0.006708256180991142,0.027995532573023944,0.0004442886846922263,0.85,498.6164141697971
8A,1.8905375245048277,0.04371940014543537,0.08347369842589464,0.0028955415926406546,0.85,1077.7707056585584
8A,5.915822307595537,0.0873829450321022,0.2612037903742486,0.005787383884183993,0.85,1963.5598056012907
8A,0.6253271981269614,0.01498435025726079,0.02761033477377367,0.0009924154783519901,0.85,493.1808379006779
8A,0.6332860990805126,0.008298745600997757,0.027961747474863703,0.0005496270071066268,0.85,498.14083068488856
8A,0.7156638088154129,0.015909830614359362,0.03159900513851575,0.0010537101635086123,0.85,548.1038394304381
8A,4.968065510223791,0.0668828647556571,0.2193570859002805,0.004429660884887155,0.85,1813.9034774385825
