spot_id,figure_group_code,u_ppm,th_ppm,th_u_ratio,f204_percent,discordance_percent,age_206pb_238u_ma,age_206pb_238u_1sigma_ma,age_207pb_206pb_ma,age_207pb_206pb_1sigma_ma,preferred_age_ma,preferred_age_1sigma_ma,preferred_age_system,source_reference
1.1,1,140,75,0.56,0.013,1.7,2713,27,2760,8,2760,8,207Pb/206Pb,GSWA 738 Table 1
3.1,1,178,80,0.47,0.001,2.2,2689,25,2749,7,2749,7,207Pb/206Pb,GSWA 738 Table 1
4.1,1,92,31,0.35,0.023,3.8,2644,29,2748,11,2748,11,207Pb/206Pb,GSWA 738 Table 1
7.1,1,145,68,0.48,0.087,0.9,2720,27,2745,9,2745,9,207Pb/206Pb,GSWA 738 Table 1
2.1,1,287,178,0.64,0.015,4.6,2617,30,2744,7,2744,7,207Pb/206Pb,GSWA 738 Table 1
12.1,1,123,61,0.51,0.032,2.2,2678,36,2737,10,2737,10,207Pb/206Pb,GSWA 738 Table 1
6.1,1,372,202,0.56,0.018,2.0,2674,23,2730,5,2730,5,207Pb/206Pb,GSWA 738 Table 1
15.1,1,133,58,0.45,0.090,-0.6,2740,31,2723,9,2723,9,207Pb/206Pb,GSWA 738 Table 1
9.1,1,106,49,0.48,0.032,-1.9,2771,43,2719,10,2719,10,207Pb/206Pb,GSWA 738 Table 1
19.1,2,227,73,0.33,0.329,6.7,2534,24,2718,8,2718,8,207Pb/206Pb,GSWA 738 Table 1
18.1,2,572,438,0.79,0.063,3.7,2537,21,2635,5,2635,5,207Pb/206Pb,GSWA 738 Table 1
16.1,2,586,408,0.72,0.019,6.0,2443,20,2600,6,2600,6,207Pb/206Pb,GSWA 738 Table 1
11.1,C,1218,900,0.76,0.050,-1.2,1066,13,1053,9,1066,13,206Pb/238U,GSWA 738 Table 1
10.1,C,59,86,1.51,0.782,12.5,496,9,567,87,496,9,206Pb/238U,GSWA 738 Table 1
14.1,D,283,92,0.34,0.140,12.2,2422,22,2759,7,2759,7,207Pb/206Pb,GSWA 738 Table 1
17.1,D,468,199,0.44,0.041,12.2,2295,20,2615,8,2615,8,207Pb/206Pb,GSWA 738 Table 1
5.1,D,274,189,0.71,0.126,17.0,2274,21,2738,7,2738,7,207Pb/206Pb,GSWA 738 Table 1
8.1,D,161,119,0.76,0.266,19.4,2214,23,2747,11,2747,11,207Pb/206Pb,GSWA 738 Table 1
13.1,D,346,398,1.19,0.333,39.6,1663,16,2752,9,2752,9,207Pb/206Pb,GSWA 738 Table 1
