sample_id,u238_pb206_ratio_204corr,u238_pb206_ratio_204corr_1sigma_abs,pb207_pb206_ratio_204corr,pb207_pb206_ratio_204corr_1sigma_abs
193435.1,2.977079184,0.110714495,0.14164897,0.00362907
193435.1,2.685252665,0.074947069,0.143462772,0.000601159
193435.1,2.787836672,0.062824089,0.146268487,0.001651411
193435.1,1.914148113,0.031911448,0.178528859,0.001269204
193435.1,1.968693898,0.032593591,0.181211028,0.001283121
193435.1,1.973127155,0.032072505,0.180762219,0.001211971
193435.1,1.998936625,0.029223923,0.182512341,0.005092083
193435.1,1.962117376,0.028091965,0.181418882,0.001094234
193435.1,2.060323391,0.028494431,0.179095237,0.001032525
193435.1,2.708433298,0.035498005,0.132269694,0.007033688
193435.1,2.062902013,0.026183926,0.179479729,0.001033295
193435.1,1.955450614,0.024449847,0.179197195,0.0008719
193435.1,2.93667647,0.036345342,0.16683995,0.002411618
193435.1,2.014425151,0.024603608,0.182630035,0.000829105
193435.1,1.955458899,0.022403126,0.180289717,0.000754691
193435.1,2.020695231,0.023034326,0.180881794,0.00080284
193435.1,2.071190833,0.022647136,0.174990757,0.000790477
193435.1,1.968984099,0.021328746,0.182045452,0.000710611
193435.1,1.999510952,0.021582314,0.180592625,0.000756236
193435.1,1.989454026,0.02143164,0.180378376,0.0006559
193435.1,2.064159406,0.022095544,0.182473747,0.000805669
193435.1,2.064990656,0.021479958,0.17583833,0.005430253
193435.1,1.983969145,0.020438065,0.181127978,0.000639751
193435.1,1.959142107,0.020094918,0.18151397,0.000640124
193435.1,2.179177196,0.021666525,0.175040562,0.001013316
193435.1,2.634401859,0.024672579,0.161546492,0.005769945
193435.1,2.866336526,0.026508588,0.135808919,0.002137419
193435.1,2.530281678,0.022621022,0.150562761,0.000521238
193435.1,3.592833639,0.029108925,0.112088046,0.000512261
193435.1,12.34085719,0.095118952,0.078432813,0.000610255
193435.1,4.406140282,0.033865531,0.104259839,0.000425277
