sample_id,tectonic_unit,region,analysis_type,closure_temperature_band,analysis_event_dated,analysis_age_ma,analysis_uncertainty_ma,analysis_uncertainty_confidence_level,latitude,longitude,pb_loss_kind,source_reference
2000081217,Arunta Region,Central Australia,GA SHRIMP sample-group Zircon,SHRIMP zircon overprint,Isotopic resetting (min. estimate); Magmatic crystallisation | ROCK_EVENT_1,435.0,10.0,95% confidence,-22.60668174,136.3152458,overprint,GSWA Geochronology / GA SHRIMP (2022-04-02)
2009087024,Arunta Orogen,Central Australia,GA SHRIMP sample-group Zircon,SHRIMP zircon overprint,Magmatic crystallisation; Isotopic resetting | ROCK_EVENT_2,456.0,25.0,95% confidence,-22.64781478,136.0751852,overprint,GSWA Geochronology / GA SHRIMP (2022-04-02)
HU15BLR957,Arunta Orogen,Central Australia,GA SHRIMP sample-group Zircon,SHRIMP zircon overprint,Metamorphism; Isotopic resetting | ROCK_EVENT_2,573.0,88.0,95% confidence,-22.46662679,135.066602,overprint,GSWA Geochronology / GA SHRIMP (2022-04-02)
HU15BLR1032A,Arunta Orogen,Central Australia,GA SHRIMP sample-group Zircon,SHRIMP zircon overprint,Metamorphism; Isotopic resetting | ROCK_EVENT_2,584.0,13.0,95% confidence,-22.67294457,135.4514662,overprint,GSWA Geochronology / GA SHRIMP (2022-04-02)
2003087422A,Arunta Orogen,Central Australia,GA SHRIMP sample-group Zircon,SHRIMP zircon overprint,Isotopic resetting | ROCK_EVENT_1,1002.0,7.0,95% confidence,-23.141193,134.217372,overprint,GSWA Geochronology / GA SHRIMP (2022-04-02)
91988053,Musgrave Block,Central Australia,GA SHRIMP interpretation Zircon,SHRIMP zircon overprint,"Data migrated from OZCHRON1. Original comment: 'This sample is either a chilled phase of Hinckley Range gabbronorite or a type A dyke. The anhedral zircons have igneous zonation, and this magmatic crystallisation age is based on 6 grains only. Age consistent with best age of Giles Complex (1078+/-3 Ma)' source=ozchron-2011-08.",1078.0,3.0,reported,-26.05661419,128.7343369,overprint,GSWA Geochronology / GA SHRIMP (2022-04-02)
PT02-3,Pinjarra Orogen,Western Australia,Ar-Ar biotite,Ar-Ar biotite (~300 C),cooling age,620.0,1.0,2sigma,-31.92105,116.06328,cooling,Lu et al. 2015 Precam Res 270 Tables 4 & 5
PT02-4,Pinjarra Orogen,Western Australia,Ar-Ar biotite,Ar-Ar biotite (~300 C),cooling age,620.0,2.0,2sigma,-31.92105,116.06328,cooling,Lu et al. 2015 Precam Res 270 Tables 4 & 5
PT02-1,Pinjarra Orogen,Western Australia,Ar-Ar biotite,Ar-Ar biotite (~300 C),cooling age,627.0,1.0,2sigma,-31.92105,116.06328,cooling,Lu et al. 2015 Precam Res 270 Tables 4 & 5
PT02-2,Pinjarra Orogen,Western Australia,Ar-Ar biotite,Ar-Ar biotite (~300 C),cooling age,627.0,1.0,2sigma,-31.92105,116.06328,cooling,Lu et al. 2015 Precam Res 270 Tables 4 & 5
