sample_id,pb207_u235_ratio,pb207_u235_ratio_2sigma_abs,pb206_u238_ratio,pb206_u238_ratio_2sigma_abs,error_correlation_rho,age_207pb_206pb_ma
1A,18.22190479,0.342163071,0.592987758,0.011134868,0.85,3001.523585
1A,18.2641414,0.43737798,0.593538585,0.014213683,0.85,3003.752256
1A,18.00957149,0.531506525,0.590203075,0.017418337,0.85,2990.244824
1A,18.20517009,0.468260388,0.592769231,0.015246787,0.85,3000.639202
1A,18.19149605,0.345778841,0.592590552,0.011263795,0.85,2999.915994
1A,18.27637736,0.521521907,0.59369797,0.01694135,0.85,3004.39699
1A,18.19932557,0.481467385,0.592692874,0.015679828,0.85,3000.330153
1A,18.23731982,0.265257703,0.593188911,0.008627799,0.85,3002.337547
1A,18.22796676,0.205544844,0.593066878,0.006687627,0.85,3001.843754
1A,18.27628741,0.413652476,0.593696798,0.013437311,0.85,3004.392252
1A,18.17562021,0.310630789,0.592382968,0.010124133,0.85,2999.075688
1A,18.30897665,0.510132442,0.59412219,0.016553683,0.85,3006.112707
1A,18.15264463,0.252190592,0.592082294,0.008225666,0.85,2997.858361
1A,18.24345924,0.198417237,0.593268987,0.006452438,0.85,3002.661546
1A,18.23213155,0.431390083,0.593121224,0.014033829,0.85,3002.063663
1A,18.39656538,0.539942775,0.595259016,0.017470968,0.85,3010.708238
1A,18.14473204,0.315885162,0.591978674,0.010305872,0.85,2997.438786
1A,18.25138944,0.251676206,0.593372388,0.008182265,0.85,3003.079897
1A,18.18231756,0.354811536,0.592470557,0.011561529,0.85,2999.430263
1A,18.11531886,0.423831071,0.591593176,0.01384108,0.85,2995.877594
1A,18.26345869,0.486786264,0.59352969,0.015819682,0.85,3003.716271
1A,18.08271101,0.293795824,0.591165222,0.009604858,0.85,2994.144024
1A,18.13028849,0.473115084,0.591789435,0.015442915,0.85,2996.672451
1A,18.20411521,0.287016313,0.592755451,0.009345716,0.85,3000.583429
1A,18.27562093,0.233837478,0.593688119,0.007596269,0.85,3004.357144
1A,18.25735643,0.185261876,0.593450168,0.006021884,0.85,3003.394568
1A,18.22042847,0.424481634,0.592968486,0.013814397,0.85,3001.445597
1A,18.05585875,0.46249325,0.590812343,0.01513341,0.85,2992.714221
1A,18.14867969,0.387924833,0.592030375,0.012654545,0.85,2997.648137
1A,18.16709738,0.223284554,0.592271468,0.007279373,0.85,2998.624289
1A,18.11142705,0.351758762,0.591542131,0.011488886,0.85,2995.670844
1A,18.03469047,0.456277257,0.590533865,0.014940493,0.85,2991.585651
1A,18.2084721,0.383681422,0.592812363,0.012491498,0.85,3000.813765
1A,18.26042086,0.293609343,0.593490105,0.009542729,0.85,3003.556133
1A,18.16015363,0.340218634,0.592180595,0.011094117,0.85,2998.256375
1A,18.27434405,0.3320553,0.59367149,0.010787351,0.85,3004.289879
1A,18.0728947,0.265288221,0.59103627,0.008675697,0.85,2993.621568
1A,18.10638146,0.282960696,0.59147594,0.009243395,0.85,2995.402739
1A,18.20654949,0.42308981,0.59278725,0.013775386,0.85,3000.712129
