sample_id,u238_pb206_ratio_tw,u238_pb206_ratio_tw_1sigma_abs,pb207_pb206_ratio_tw,pb207_pb206_ratio_tw_1sigma_abs
5A,1.686375454,0.015833016,0.222967776,0.0011466
5A,1.684810432,0.020173381,0.223277191,0.001464309
5A,1.694332073,0.025001943,0.221409356,0.0017895
5A,1.686997144,0.021695868,0.222845129,0.001569735
5A,1.68750581,0.016037818,0.22274489,0.001159494
5A,1.684358126,0.024031832,0.223366793,0.001745548
5A,1.687214482,0.022317825,0.222802287,0.001614217
5A,1.685803598,0.012259817,0.223080725,0.000888586
5A,1.686150479,0.009506807,0.223012196,0.000688696
5A,1.684361449,0.019061319,0.223366135,0.001384508
5A,1.688097151,0.014425229,0.222628486,0.001041997
5A,1.683155447,0.023448394,0.223605434,0.001706208
5A,1.688954408,0.011732131,0.222459977,0.000846392
5A,1.685576057,0.009166226,0.223125703,0.000664588
5A,1.685995982,0.019946158,0.223042712,0.001445278
5A,1.679940956,0.024653297,0.224246061,0.001802463
5A,1.689250042,0.014704241,0.222401931,0.001060347
5A,1.685282328,0.011619539,0.223183794,0.000842829
5A,1.687847588,0.016468412,0.222677595,0.001190024
5A,1.690350804,0.01977396,0.222186099,0.001423621
5A,1.684835683,0.022453438,0.223272192,0.001629748
5A,1.691574475,0.013741787,0.221946715,0.000987555
5A,1.689790222,0.022047781,0.222295957,0.001588636
5A,1.687036362,0.013299382,0.222837397,0.000962179
5A,1.684386074,0.010775902,0.223361255,0.000782673
5A,1.685061449,0.008549366,0.223227499,0.000620335
5A,1.686430262,0.019644397,0.222956957,0.001422499
5A,1.692584814,0.021677425,0.221749498,0.001555538
5A,1.689102522,0.018052134,0.222430892,0.001302052
5A,1.688414949,0.010375818,0.222565984,0.000749139
5A,1.690496666,0.016416349,0.222157534,0.001181637
5A,1.693382986,0.021421275,0.221593972,0.001535355
5A,1.686874402,0.017772561,0.222869331,0.00128611
5A,1.684948059,0.013546142,0.223249943,0.000983062
5A,1.688674044,0.015818103,0.222515056,0.001141639
5A,1.684433254,0.015303559,0.223351905,0.001111447
5A,1.691943543,0.012417842,0.221874628,0.000891925
5A,1.690685846,0.013210747,0.222120498,0.000950635
5A,1.686945865,0.019600903,0.222855239,0.001418268
5A,1.68895062,0.021684407,0.222460721,0.001564388
5A,3.10212624,0.027456044,0.136982223,0.000676239
5A,3.225736876,0.057885221,0.12948751,0.001296058
5A,2.637552514,0.023249363,0.16515008,0.000811982
5A,1.938744516,0.042725365,0.207519939,0.002550837
5A,3.345824713,0.070392926,0.122206391,0.001434094
5A,2.65803868,0.054088999,0.16390797,0.001860396
5A,3.302741276,0.056964687,0.124818609,0.001200793
5A,1.867273925,0.018052548,0.211853316,0.001142414
5A,1.907647043,0.02423293,0.209405429,0.001483726
5A,2.94582246,0.025749287,0.146459174,0.000714057
5A,2.723803095,0.03133636,0.159920567,0.001026207
5A,2.393534793,0.050126391,0.179945269,0.002101962
5A,1.986112181,0.036554234,0.204647961,0.00210087
5A,3.324309135,0.052599835,0.123510915,0.001090049
5A,2.477339029,0.029390574,0.174864082,0.001157127
5A,2.784279355,0.039053572,0.156253794,0.001222465
5A,2.360228967,0.044140634,0.181964655,0.001898144
5A,2.246365801,0.022012733,0.188868363,0.001032311
5A,2.069205008,0.045682659,0.199609908,0.002458033
5A,2.753793041,0.048645424,0.158102228,0.001557781
5A,1.946893403,0.038084872,0.207025858,0.002258877
5A,3.210931872,0.04761414,0.130385162,0.001078427
5A,3.099039845,0.049051512,0.137169356,0.001210989
5A,3.037519467,0.049938759,0.140899436,0.001292069
5A,3.674353151,0.033573152,0.10228718,0.000521303
5A,3.453744718,0.070857318,0.115663026,0.00132357
5A,2.97178505,0.042521647,0.14488502,0.001156309
5A,2.215229957,0.018825872,0.190756179,0.000904217
5A,2.953314535,0.062948591,0.146004918,0.001735807
5A,2.039952457,0.016994703,0.201383538,0.000935783
5A,2.059351993,0.025267974,0.200207312,0.00137018
5A,2.761853442,0.03104548,0.157613513,0.000988209
5A,2.903907147,0.02404269,0.149000567,0.000688091
5A,3.656930667,0.071421276,0.103343534,0.001125776
5A,3.347372112,0.05092472,0.122112569,0.001036198
5A,3.513677373,0.033719097,0.112029212,0.000599657
5A,2.705103519,0.033576917,0.161054353,0.001115032
5A,2.49552909,0.036718358,0.17376119,0.001426038
5A,2.386703684,0.036972031,0.18035945,0.001558373
5A,3.03526752,0.061952196,0.141035976,0.001605637
5A,1.968764445,0.042405409,0.205699782,0.002471264
5A,1.980061831,0.038466112,0.205014803,0.002221481
5A,2.906458037,0.043254775,0.148845903,0.001235562
5A,2.964302466,0.051483855,0.145338702,0.001407951
5A,2.578888113,0.048838937,0.168706997,0.001782069
5A,2.263560579,0.048761423,0.187825815,0.002256822
5A,2.619979077,0.050315447,0.166215586,0.001780463
5A,2.708281404,0.02512521,0.160861673,0.000832389
5A,3.498688709,0.026885814,0.112937999,0.000484078
5A,2.654933118,0.031935954,0.164096265,0.001100988
5A,3.643301694,0.042840224,0.10416988,0.000683214
5A,3.469648017,0.027531631,0.114698784,0.000507648
5A,2.200298705,0.038162059,0.191661485,0.001854141
5A,3.49629333,0.062834726,0.113083235,0.001133569
5A,3.471955665,0.034123057,0.114558867,0.000628001
5A,3.251848695,0.054218574,0.127904309,0.00118949
5A,1.882769886,0.032093931,0.210913771,0.002005342
5A,2.90642106,0.052305811,0.148848145,0.001494144
5A,3.070012019,0.044860646,0.13892936,0.001132341
5A,1.941324713,0.032351814,0.207363497,0.001927483
5A,3.038912196,0.037243734,0.140814993,0.000962591
5A,3.182385553,0.050081729,0.132115971,0.001159684
5A,2.606167243,0.054197967,0.167053019,0.001937728
5A,3.648871073,0.073199037,0.1038322,0.001161814
5A,2.739739084,0.032080075,0.158954343,0.001038141
5A,2.398988626,0.047758109,0.179614594,0.001994428
5A,3.511496472,0.045557419,0.112161444,0.000811649
5A,2.513369522,0.025023784,0.172679495,0.000958948
5A,2.040751342,0.045620639,0.2013351,0.002510432
5A,1.988980239,0.02785902,0.204474066,0.001597465
5A,2.686895264,0.02953646,0.162158349,0.000994271
5A,2.309397539,0.025761357,0.185046646,0.001151354
5A,5.262395817,0.082056072,0.104824204,0.000911689
5A,5.304650496,0.086502188,0.122057919,0.001110182
5A,4.032936212,0.068408614,0.112692157,0.001066205
5A,3.092949819,0.050963022,0.148067485,0.001360817
5A,3.365924073,0.063688293,0.150778861,0.001591305
5A,6.878768014,0.096999781,0.092071011,0.00072417
5A,5.956041033,0.048328534,0.110038853,0.000498023
5A,5.214250794,0.045740915,0.107861695,0.000527762
5A,7.130567608,0.065167929,0.100356524,0.00051158
5A,5.903489265,0.065044806,0.106554922,0.00065484
5A,3.25074727,0.068052844,0.129161228,0.001508179
5A,3.944253149,0.05306638,0.121588197,0.000912439
5A,3.965394502,0.089146631,0.136437257,0.00171084
5A,3.159004011,0.047238953,0.143224577,0.001194608
