Sample,Pb7_U35,Pb7_U35.2SE.abs,Pb6_U38,Pb6_U38.2SE.abs,rho,age76
1B,18.07585157,0.332332625,0.591075118,0.010867181,0.85,2993.778971
1B,18.21362573,0.186678691,0.592879668,0.006076659,0.85,3001.086156
1B,18.13854386,0.370109756,0.591897611,0.012077435,0.85,2997.110529
1B,18.14551312,0.215594812,0.591988904,0.00703368,0.85,2997.480211
1B,18.22254236,0.326186147,0.592996081,0.010614716,0.85,3001.557264
1B,18.21616844,0.23658218,0.592912869,0.007700446,0.85,3001.220522
1B,18.08569624,0.245401832,0.591204426,0.008021955,0.85,2994.302855
1B,18.32945258,0.498188238,0.594388338,0.016155271,0.85,3007.188885
1B,18.22318004,0.259551808,0.593004404,0.008446131,0.85,3001.590947
1B,17.99407454,0.443911985,0.589998813,0.014555211,0.85,2989.416728
1B,18.19583531,0.319901961,0.592647265,0.010419364,0.85,3000.14555
1B,18.18197152,0.451537048,0.592466032,0.014713496,0.85,2999.411946
1B,17.94212533,0.460380629,0.589313056,0.015121303,0.85,2986.635828
1B,18.34122662,0.22178765,0.594541271,0.007189373,0.85,3007.807191
1B,18.15722134,0.495900057,0.592142212,0.016172263,0.85,2998.100967
1B,18.10874372,0.217255117,0.591506931,0.007096456,0.85,2995.52827
1B,18.32847301,0.455865915,0.594375611,0.014783315,0.85,3007.137426
1B,18.16136,0.537294622,0.592196385,0.01751983,0.85,2998.320304
1B,18.19644657,0.443743107,0.592655253,0.01445264,0.85,3000.177882
1B,18.18426811,0.325363795,0.592496061,0.010601294,0.85,2999.533507
1B,18.22765655,0.40419505,0.593062829,0.013151063,0.85,3001.827372
1B,18.27370907,0.332267189,0.59366322,0.010794459,0.85,3004.256428
1B,18.28488422,0.524915643,0.593808729,0.01704684,0.85,3004.844989
1B,18.14685261,0.252873553,0.592006448,0.008249517,0.85,2997.551249
1B,18.19602206,0.325383808,0.592649706,0.010597845,0.85,3000.155428
1B,18.1944057,0.24121106,0.592628582,0.007856732,0.85,3000.069926
1B,18.23329013,0.306128829,0.59313634,0.009958495,0.85,3002.124829
1B,18.25618621,0.271504813,0.593434916,0.008825525,0.85,3003.332863
1B,18.05725289,0.452696978,0.590830675,0.014812179,0.85,2992.788504
1B,18.2010227,0.283249177,0.592715049,0.00922399,0.85,3000.419905
1B,18.27178692,0.250603454,0.593638185,0.008141939,0.85,3004.155159
1B,18.15466152,0.351625527,0.5921087,0.011468158,0.85,2997.965281
1B,18.18868136,0.198319602,0.592553759,0.006460888,0.85,2999.767064
1B,18.09806237,0.528221757,0.591366774,0.017260013,0.85,2994.960535
