Sample,Pb7_U35,Pb7_U35.2SE.abs,Pb6_U38,Pb6_U38.2SE.abs,rho,age76
3C,22.7516134,0.66835764,0.646975754,0.019005737,0.85,3216.378597
3C,22.64170297,0.350679507,0.645772956,0.010001869,0.85,3211.669013
3C,22.49256369,0.367463301,0.644133303,0.010523271,0.85,3205.243369
3C,22.38882356,0.491544868,0.642987593,0.014116742,0.85,3200.74964
3C,22.45719093,0.22689926,0.643743125,0.006504146,0.85,3203.713355
3C,22.18580984,0.278628057,0.640733061,0.008046865,0.85,3191.897697
3C,22.41787488,0.630818923,0.643308868,0.018102135,0.85,3202.010067
3C,22.32714915,0.579117906,0.642304429,0.016659986,0.85,3198.068621
3C,23.19565152,0.572906195,0.651787818,0.016098417,0.85,3235.185996
3C,22.46604191,0.612810446,0.643840801,0.017562167,0.85,3204.096412
3C,21.69809495,0.539480361,0.635248085,0.015794191,0.85,3170.311213
3C,22.23410804,0.488556047,0.641270931,0.014090819,0.85,3194.010634
3C,22.29001402,0.619734858,0.64189235,0.017846694,0.85,3196.450917
3C,22.69151704,0.595230576,0.646318675,0.016953853,0.85,3213.806217
3C,18.30672815,0.183539575,0.594092949,0.005956256,0.85,3005.99446
3C,18.29186816,0.209848663,0.59389963,0.006813358,0.85,3005.21264
3C,18.58928454,0.187938103,0.597745196,0.006043218,0.85,3020.747027
3C,18.70277622,0.278067152,0.599199674,0.008908717,0.85,3026.612733
3C,18.40486102,0.324493031,0.595366462,0.010496807,0.85,3011.14241
3C,18.10038216,0.190754775,0.591397219,0.006232567,0.85,2995.083864
3C,18.10844502,0.538440843,0.591503013,0.017587892,0.85,2995.512398
3C,17.34400861,0.290433393,0.581301257,0.009734157,0.85,2954.056978
3C,18.54509384,0.222710185,0.597176939,0.007171567,0.85,3018.453877
3C,18.10762603,0.398259706,0.591492268,0.0130093,0.85,2995.468878
3C,18.18811467,0.404545298,0.592546351,0.013179587,0.85,2999.737076
3C,18.07448528,0.181090196,0.591057168,0.005921865,0.85,2993.706242
3C,17.90966706,0.25428846,0.588883785,0.008361202,0.85,2984.894427
3C,15.29182774,0.2037181,0.552025797,0.007354101,0.85,2833.592543
3C,14.75912421,0.177904827,0.543920131,0.006556352,0.85,2799.837044
3C,15.1258743,0.419598587,0.549524885,0.015244069,0.85,2823.196508
3C,14.69446726,0.34096331,0.542920657,0.012597668,0.85,2795.662534
3C,14.62586306,0.171209351,0.541856365,0.006342934,0.85,2791.214327
3C,14.91399307,0.436072387,0.546300135,0.015973348,0.85,2809.766756
3C,15.01681755,0.2648723,0.547869572,0.00966353,0.85,2816.306308
3C,15.03379489,0.303685839,0.548127885,0.011072299,0.85,2817.382013
3C,14.72997229,0.435907738,0.543469926,0.016083041,0.85,2797.957004
3C,14.93955411,0.259692083,0.546691076,0.009503051,0.85,2811.396355
3C,14.64879949,0.183128751,0.542212627,0.006778352,0.85,2792.703664
3C,14.78990504,0.40131837,0.544394731,0.014771941,0.85,2801.818363
3C,14.70800355,0.318875974,0.543130189,0.011775301,0.85,2796.537912
3C,4.895117021,0.085837685,0.187744558,0.004938255,0.85,1801.415835
3C,2.40354648,0.05601906,0.110978207,0.003879826,0.85,1243.65941
3C,8.02905144,0.239822257,0.278195975,0.012464284,0.85,2234.296915
3C,12.68393833,0.179647931,0.376204008,0.007992502,0.85,2656.468254
3C,3.062727171,0.050726295,0.13519199,0.003358668,0.85,1423.419267
